conname,contype,table_name,pg_get_constraintdef
abuse_events_pkey,p,abuse_events,PRIMARY KEY (id)
access_expirations_pkey,p,access_expirations,PRIMARY KEY (id)
access_expirations_user_id_fkey,f,access_expirations,FOREIGN KEY (user_id) REFERENCES auth.users(id)
access_policies_pkey,p,access_policies,PRIMARY KEY (id)
account_risk_scores_pkey,p,account_risk_scores,PRIMARY KEY (id)
account_risk_scores_user_id_fkey,f,account_risk_scores,FOREIGN KEY (user_id) REFERENCES auth.users(id)
account_risk_scores_user_id_key,u,account_risk_scores,UNIQUE (user_id)
admin_alerts_pkey,p,admin_alerts,PRIMARY KEY (id)
admin_events_pkey,p,admin_events,PRIMARY KEY (id)
admin_events_admin_id_fkey,f,admin_events,FOREIGN KEY (admin_id) REFERENCES auth.users(id)
admin_queue_pkey,p,admin_queue,PRIMARY KEY (id)
admin_queue_assigned_to_fkey,f,admin_queue,FOREIGN KEY (assigned_to) REFERENCES auth.users(id)
ai_briefings_pkey,p,ai_briefings,PRIMARY KEY (id)
ai_briefings_user_id_fkey,f,ai_briefings,FOREIGN KEY (user_id) REFERENCES auth.users(id)
ai_generated_insights_pkey,p,ai_generated_insights,PRIMARY KEY (id)
ai_generated_insights_content_id_fkey,f,ai_generated_insights,FOREIGN KEY (content_id) REFERENCES content(id)
ai_jobs_pkey,p,ai_jobs,PRIMARY KEY (id)
ai_operational_memory_memory_scope_memory_key_key,u,ai_operational_memory,"UNIQUE (memory_scope, memory_key)"
ai_operational_memory_pkey,p,ai_operational_memory,PRIMARY KEY (id)
ai_trend_detection_pkey,p,ai_trend_detection,PRIMARY KEY (id)
ai_user_profiles_user_id_key,u,ai_user_profiles,UNIQUE (user_id)
ai_user_profiles_user_id_fkey,f,ai_user_profiles,FOREIGN KEY (user_id) REFERENCES auth.users(id)
ai_user_profiles_pkey,p,ai_user_profiles,PRIMARY KEY (id)
analytics_events_user_id_fkey,f,analytics_events,FOREIGN KEY (user_id) REFERENCES auth.users(id)
analytics_events_pkey,p,analytics_events,PRIMARY KEY (id)
analytics_read_models_pkey,p,analytics_read_models,PRIMARY KEY (id)
announcements_created_by_fkey,f,announcements,FOREIGN KEY (created_by) REFERENCES auth.users(id)
announcements_pkey,p,announcements,PRIMARY KEY (id)
asset_access_logs_user_id_fkey,f,asset_access_logs,FOREIGN KEY (user_id) REFERENCES auth.users(id)
asset_access_logs_pkey,p,asset_access_logs,PRIMARY KEY (id)
audit_logs_actor_user_id_fkey,f,audit_logs,FOREIGN KEY (actor_user_id) REFERENCES auth.users(id)
audit_logs_pkey,p,audit_logs,PRIMARY KEY (id)
audit_logs_target_user_id_fkey,f,audit_logs,FOREIGN KEY (target_user_id) REFERENCES auth.users(id)
automation_jobs_pkey,p,automation_jobs,PRIMARY KEY (id)
automation_jobs_workflow_id_fkey,f,automation_jobs,FOREIGN KEY (workflow_id) REFERENCES automation_workflows(id)
automation_jobs_trigger_id_fkey,f,automation_jobs,FOREIGN KEY (trigger_id) REFERENCES automation_triggers(id)
automation_logs_workflow_id_fkey,f,automation_logs,FOREIGN KEY (workflow_id) REFERENCES automation_workflows(id)
automation_logs_job_id_fkey,f,automation_logs,FOREIGN KEY (job_id) REFERENCES automation_jobs(id)
automation_logs_pkey,p,automation_logs,PRIMARY KEY (id)
automation_triggers_workflow_id_fkey,f,automation_triggers,FOREIGN KEY (workflow_id) REFERENCES automation_workflows(id) ON DELETE CASCADE
automation_triggers_pkey,p,automation_triggers,PRIMARY KEY (id)
automation_workflows_pkey,p,automation_workflows,PRIMARY KEY (id)
automation_workflows_created_by_fkey,f,automation_workflows,FOREIGN KEY (created_by) REFERENCES auth.users(id)
backup_snapshots_pkey,p,backup_snapshots,PRIMARY KEY (id)
billing_customers_user_id_key,u,billing_customers,UNIQUE (user_id)
billing_customers_pkey,p,billing_customers,PRIMARY KEY (id)
billing_customers_user_id_fkey,f,billing_customers,FOREIGN KEY (user_id) REFERENCES auth.users(id)
blocked_ips_pkey,p,blocked_ips,PRIMARY KEY (id)
blocked_ips_ip_address_key,u,blocked_ips,UNIQUE (ip_address)
cache_entries_pkey,p,cache_entries,PRIMARY KEY (id)
cache_entries_cache_key_key,u,cache_entries,UNIQUE (cache_key)
cache_metrics_pkey,p,cache_metrics,PRIMARY KEY (id)
calendar_events_created_by_fkey,f,calendar_events,FOREIGN KEY (created_by) REFERENCES auth.users(id)
calendar_events_pkey,p,calendar_events,PRIMARY KEY (id)
captcha_events_pkey,p,captcha_events,PRIMARY KEY (id)
captcha_events_user_id_fkey,f,captcha_events,FOREIGN KEY (user_id) REFERENCES auth.users(id)
cdn_assets_pkey,p,cdn_assets,PRIMARY KEY (id)
churn_predictions_user_id_key,u,churn_predictions,UNIQUE (user_id)
churn_predictions_pkey,p,churn_predictions,PRIMARY KEY (id)
churn_predictions_user_id_fkey,f,churn_predictions,FOREIGN KEY (user_id) REFERENCES auth.users(id)
circle_members_circle_id_user_id_key,u,circle_members,"UNIQUE (circle_id, user_id)"
circle_members_user_id_fkey,f,circle_members,FOREIGN KEY (user_id) REFERENCES auth.users(id)
circle_members_circle_id_fkey,f,circle_members,FOREIGN KEY (circle_id) REFERENCES private_circles(id)
circle_members_pkey,p,circle_members,PRIMARY KEY (id)
cms_jobs_pkey,p,cms_jobs,PRIMARY KEY (id)
collection_items_content_id_fkey,f,collection_items,FOREIGN KEY (content_id) REFERENCES content(id) ON DELETE CASCADE
collection_items_collection_id_fkey,f,collection_items,FOREIGN KEY (collection_id) REFERENCES collections(id) ON DELETE CASCADE
collection_items_pkey,p,collection_items,PRIMARY KEY (id)
collections_slug_key,u,collections,UNIQUE (slug)
collections_pkey,p,collections,PRIMARY KEY (id)
comment_likes_user_id_fkey,f,comment_likes,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE
comment_likes_comment_id_fkey,f,comment_likes,FOREIGN KEY (comment_id) REFERENCES comments(id) ON DELETE CASCADE
comment_likes_pkey,p,comment_likes,PRIMARY KEY (id)
comment_reactions_comment_id_fkey,f,comment_reactions,FOREIGN KEY (comment_id) REFERENCES comments(id)
comment_reactions_user_id_fkey,f,comment_reactions,FOREIGN KEY (user_id) REFERENCES auth.users(id)
comment_reactions_comment_id_user_id_reaction_key,u,comment_reactions,"UNIQUE (comment_id, user_id, reaction)"
comment_reactions_pkey,p,comment_reactions,PRIMARY KEY (id)
comments_parent_comment_id_fkey,f,comments,FOREIGN KEY (parent_comment_id) REFERENCES comments(id)
comments_content_id_fkey,f,comments,FOREIGN KEY (content_id) REFERENCES content(id) ON DELETE CASCADE
comments_user_id_fkey,f,comments,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE
comments_pkey,p,comments,PRIMARY KEY (id)
community_posts_circle_id_fkey,f,community_posts,FOREIGN KEY (circle_id) REFERENCES private_circles(id)
community_posts_pkey,p,community_posts,PRIMARY KEY (id)
community_posts_author_id_fkey,f,community_posts,FOREIGN KEY (author_id) REFERENCES auth.users(id)
compliance_audits_pkey,p,compliance_audits,PRIMARY KEY (id)
concurrent_access_events_pkey,p,concurrent_access_events,PRIMARY KEY (id)
concurrent_access_events_user_id_fkey,f,concurrent_access_events,FOREIGN KEY (user_id) REFERENCES auth.users(id)
consent_records_pkey,p,consent_records,PRIMARY KEY (id)
content_author_id_fkey,f,content,FOREIGN KEY (author_id) REFERENCES auth.users(id)
content_workspace_id_fkey,f,content,FOREIGN KEY (workspace_id) REFERENCES workspaces(id)
content_category_id_fkey,f,content,FOREIGN KEY (category_id) REFERENCES content_categories(id)
content_slug_key,u,content,UNIQUE (slug)
content_pkey,p,content,PRIMARY KEY (id)
content_access_rules_content_id_fkey,f,content_access_rules,FOREIGN KEY (content_id) REFERENCES content(id)
content_access_rules_pkey,p,content_access_rules,PRIMARY KEY (id)
content_analytics_content_id_fkey,f,content_analytics,FOREIGN KEY (content_id) REFERENCES content(id) ON DELETE CASCADE
content_analytics_pkey,p,content_analytics,PRIMARY KEY (id)
content_categories_slug_key,u,content_categories,UNIQUE (slug)
content_categories_pkey,p,content_categories,PRIMARY KEY (id)
content_embeddings_pkey,p,content_embeddings,PRIMARY KEY (id)