schemaname,tablename,indexname,indexdef
public,abuse_events,abuse_events_pkey,CREATE UNIQUE INDEX abuse_events_pkey ON public.abuse_events USING btree (id)
public,access_expirations,access_expiration_user_idx,CREATE INDEX access_expiration_user_idx ON public.access_expirations USING btree (user_id)
public,access_expirations,access_expiration_expire_idx,CREATE INDEX access_expiration_expire_idx ON public.access_expirations USING btree (expires_at)
public,access_expirations,access_expiration_active_idx,CREATE INDEX access_expiration_active_idx ON public.access_expirations USING btree (active)
public,access_expirations,access_expirations_pkey,CREATE UNIQUE INDEX access_expirations_pkey ON public.access_expirations USING btree (id)
public,access_policies,access_policies_pkey,CREATE UNIQUE INDEX access_policies_pkey ON public.access_policies USING btree (id)
public,access_policies,idx_access_policies_resource,CREATE INDEX idx_access_policies_resource ON public.access_policies USING btree (resource_type)
public,account_risk_scores,account_risk_scores_pkey,CREATE UNIQUE INDEX account_risk_scores_pkey ON public.account_risk_scores USING btree (id)
public,account_risk_scores,account_risk_scores_user_id_key,CREATE UNIQUE INDEX account_risk_scores_user_id_key ON public.account_risk_scores USING btree (user_id)
public,account_risk_scores,risk_score_user_idx,CREATE INDEX risk_score_user_idx ON public.account_risk_scores USING btree (user_id)
public,admin_alerts,admin_alerts_resolved_idx,CREATE INDEX admin_alerts_resolved_idx ON public.admin_alerts USING btree (resolved)
public,admin_alerts,admin_alerts_pkey,CREATE UNIQUE INDEX admin_alerts_pkey ON public.admin_alerts USING btree (id)
public,admin_events,admin_events_pkey,CREATE UNIQUE INDEX admin_events_pkey ON public.admin_events USING btree (id)
public,admin_events,admin_events_admin_idx,CREATE INDEX admin_events_admin_idx ON public.admin_events USING btree (admin_id)
public,admin_events,admin_events_type_idx,CREATE INDEX admin_events_type_idx ON public.admin_events USING btree (event_type)
public,admin_queue,admin_queue_pkey,CREATE UNIQUE INDEX admin_queue_pkey ON public.admin_queue USING btree (id)
public,admin_queue,admin_queue_priority_idx,CREATE INDEX admin_queue_priority_idx ON public.admin_queue USING btree (priority)
public,admin_queue,admin_queue_status_idx,CREATE INDEX admin_queue_status_idx ON public.admin_queue USING btree (status)
public,ai_briefings,ai_briefings_pkey,CREATE UNIQUE INDEX ai_briefings_pkey ON public.ai_briefings USING btree (id)
public,ai_briefings,ai_briefing_user_idx,CREATE INDEX ai_briefing_user_idx ON public.ai_briefings USING btree (user_id)
public,ai_generated_insights,ai_generated_insights_pkey,CREATE UNIQUE INDEX ai_generated_insights_pkey ON public.ai_generated_insights USING btree (id)
public,ai_generated_insights,ai_insight_content_idx,CREATE INDEX ai_insight_content_idx ON public.ai_generated_insights USING btree (content_id)
public,ai_jobs,ai_jobs_pkey,CREATE UNIQUE INDEX ai_jobs_pkey ON public.ai_jobs USING btree (id)
public,ai_jobs,ai_jobs_type_idx,CREATE INDEX ai_jobs_type_idx ON public.ai_jobs USING btree (job_type)
public,ai_jobs,ai_jobs_status_idx,CREATE INDEX ai_jobs_status_idx ON public.ai_jobs USING btree (status)
public,ai_operational_memory,ai_operational_memory_pkey,CREATE UNIQUE INDEX ai_operational_memory_pkey ON public.ai_operational_memory USING btree (id)
public,ai_operational_memory,ai_operational_memory_memory_scope_memory_key_key,"CREATE UNIQUE INDEX ai_operational_memory_memory_scope_memory_key_key ON public.ai_operational_memory USING btree (memory_scope, memory_key)"
public,ai_trend_detection,ai_trend_score_idx,CREATE INDEX ai_trend_score_idx ON public.ai_trend_detection USING btree (trend_score DESC)
public,ai_trend_detection,ai_trend_detection_pkey,CREATE UNIQUE INDEX ai_trend_detection_pkey ON public.ai_trend_detection USING btree (id)
public,ai_user_profiles,ai_user_profiles_pkey,CREATE UNIQUE INDEX ai_user_profiles_pkey ON public.ai_user_profiles USING btree (id)
public,ai_user_profiles,ai_user_profiles_user_id_key,CREATE UNIQUE INDEX ai_user_profiles_user_id_key ON public.ai_user_profiles USING btree (user_id)
public,analytics_events,analytics_events_user_idx,CREATE INDEX analytics_events_user_idx ON public.analytics_events USING btree (user_id)
public,analytics_events,analytics_events_name_idx,CREATE INDEX analytics_events_name_idx ON public.analytics_events USING btree (event_name)
public,analytics_events,analytics_events_created_idx,CREATE INDEX analytics_events_created_idx ON public.analytics_events USING btree (created_at DESC)
public,analytics_events,analytics_events_pkey,CREATE UNIQUE INDEX analytics_events_pkey ON public.analytics_events USING btree (id)
public,analytics_read_models,analytics_read_models_pkey,CREATE UNIQUE INDEX analytics_read_models_pkey ON public.analytics_read_models USING btree (id)
public,announcements,announcements_pkey,CREATE UNIQUE INDEX announcements_pkey ON public.announcements USING btree (id)
public,asset_access_logs,asset_access_logs_created_idx,CREATE INDEX asset_access_logs_created_idx ON public.asset_access_logs USING btree (created_at)
public,asset_access_logs,asset_access_logs_user_idx,CREATE INDEX asset_access_logs_user_idx ON public.asset_access_logs USING btree (user_id)
public,asset_access_logs,asset_access_logs_pkey,CREATE UNIQUE INDEX asset_access_logs_pkey ON public.asset_access_logs USING btree (id)
public,asset_access_logs,asset_access_logs_bucket_idx,CREATE INDEX asset_access_logs_bucket_idx ON public.asset_access_logs USING btree (bucket_name)
public,audit_logs,audit_logs_pkey,CREATE UNIQUE INDEX audit_logs_pkey ON public.audit_logs USING btree (id)
public,audit_logs,audit_logs_target_idx,CREATE INDEX audit_logs_target_idx ON public.audit_logs USING btree (target_user_id)
public,audit_logs,audit_logs_actor_idx,CREATE INDEX audit_logs_actor_idx ON public.audit_logs USING btree (actor_user_id)
public,audit_logs,audit_logs_created_idx,CREATE INDEX audit_logs_created_idx ON public.audit_logs USING btree (created_at)
public,audit_logs,audit_logs_entity_idx,CREATE INDEX audit_logs_entity_idx ON public.audit_logs USING btree (entity_type)
public,automation_jobs,automation_jobs_created_idx,CREATE INDEX automation_jobs_created_idx ON public.automation_jobs USING btree (created_at DESC)
public,automation_jobs,automation_jobs_status_idx,CREATE INDEX automation_jobs_status_idx ON public.automation_jobs USING btree (status)
public,automation_jobs,automation_jobs_pkey,CREATE UNIQUE INDEX automation_jobs_pkey ON public.automation_jobs USING btree (id)
public,automation_logs,automation_logs_pkey,CREATE UNIQUE INDEX automation_logs_pkey ON public.automation_logs USING btree (id)
public,automation_logs,automation_logs_workflow_idx,CREATE INDEX automation_logs_workflow_idx ON public.automation_logs USING btree (workflow_id)
public,automation_triggers,automation_triggers_pkey,CREATE UNIQUE INDEX automation_triggers_pkey ON public.automation_triggers USING btree (id)
public,automation_triggers,automation_trigger_workflow_idx,CREATE INDEX automation_trigger_workflow_idx ON public.automation_triggers USING btree (workflow_id)
public,automation_workflows,automation_workflows_active_idx,CREATE INDEX automation_workflows_active_idx ON public.automation_workflows USING btree (active)
public,automation_workflows,automation_workflows_pkey,CREATE UNIQUE INDEX automation_workflows_pkey ON public.automation_workflows USING btree (id)
public,backup_snapshots,backup_snapshot_created_idx,CREATE INDEX backup_snapshot_created_idx ON public.backup_snapshots USING btree (created_at DESC)
public,backup_snapshots,backup_snapshots_pkey,CREATE UNIQUE INDEX backup_snapshots_pkey ON public.backup_snapshots USING btree (id)
public,billing_customers,billing_customer_user_idx,CREATE INDEX billing_customer_user_idx ON public.billing_customers USING btree (user_id)
public,billing_customers,billing_customers_pkey,CREATE UNIQUE INDEX billing_customers_pkey ON public.billing_customers USING btree (id)
public,billing_customers,billing_customers_user_id_key,CREATE UNIQUE INDEX billing_customers_user_id_key ON public.billing_customers USING btree (user_id)
public,blocked_ips,blocked_ips_pkey,CREATE UNIQUE INDEX blocked_ips_pkey ON public.blocked_ips USING btree (id)
public,blocked_ips,blocked_ips_ip_address_key,CREATE UNIQUE INDEX blocked_ips_ip_address_key ON public.blocked_ips USING btree (ip_address)
public,cache_entries,cache_key_idx,CREATE INDEX cache_key_idx ON public.cache_entries USING btree (cache_key)
public,cache_entries,cache_entries_cache_key_key,CREATE UNIQUE INDEX cache_entries_cache_key_key ON public.cache_entries USING btree (cache_key)
public,cache_entries,cache_expire_idx,CREATE INDEX cache_expire_idx ON public.cache_entries USING btree (expires_at)
public,cache_entries,cache_group_idx,CREATE INDEX cache_group_idx ON public.cache_entries USING btree (cache_group)
public,cache_entries,cache_entries_pkey,CREATE UNIQUE INDEX cache_entries_pkey ON public.cache_entries USING btree (id)
public,cache_metrics,cache_metrics_pkey,CREATE UNIQUE INDEX cache_metrics_pkey ON public.cache_metrics USING btree (id)
public,cache_metrics,cache_metric_group_idx,CREATE INDEX cache_metric_group_idx ON public.cache_metrics USING btree (cache_group)
public,calendar_events,calendar_events_pkey,CREATE UNIQUE INDEX calendar_events_pkey ON public.calendar_events USING btree (id)
public,captcha_events,captcha_events_pkey,CREATE UNIQUE INDEX captcha_events_pkey ON public.captcha_events USING btree (id)
public,cdn_assets,cdn_asset_bucket_idx,CREATE INDEX cdn_asset_bucket_idx ON public.cdn_assets USING btree (bucket_name)
public,cdn_assets,cdn_assets_pkey,CREATE UNIQUE INDEX cdn_assets_pkey ON public.cdn_assets USING btree (id)
public,churn_predictions,churn_predictions_user_id_key,CREATE UNIQUE INDEX churn_predictions_user_id_key ON public.churn_predictions USING btree (user_id)
public,churn_predictions,churn_score_idx,CREATE INDEX churn_score_idx ON public.churn_predictions USING btree (churn_score DESC)
public,churn_predictions,churn_predictions_pkey,CREATE UNIQUE INDEX churn_predictions_pkey ON public.churn_predictions USING btree (id)
public,circle_members,circle_members_circle_id_user_id_key,"CREATE UNIQUE INDEX circle_members_circle_id_user_id_key ON public.circle_members USING btree (circle_id, user_id)"
public,circle_members,circle_members_pkey,CREATE UNIQUE INDEX circle_members_pkey ON public.circle_members USING btree (id)
public,circle_members,circle_member_idx,CREATE INDEX circle_member_idx ON public.circle_members USING btree (circle_id)
public,cms_jobs,cms_jobs_pkey,CREATE UNIQUE INDEX cms_jobs_pkey ON public.cms_jobs USING btree (id)
public,cms_jobs,cms_jobs_status_idx,CREATE INDEX cms_jobs_status_idx ON public.cms_jobs USING btree (status)
public,collection_items,collection_items_pkey,CREATE UNIQUE INDEX collection_items_pkey ON public.collection_items USING btree (id)
public,collections,collections_slug_key,CREATE UNIQUE INDEX collections_slug_key ON public.collections USING btree (slug)
public,collections,collections_pkey,CREATE UNIQUE INDEX collections_pkey ON public.collections USING btree (id)
public,comment_likes,comment_likes_pkey,CREATE UNIQUE INDEX comment_likes_pkey ON public.comment_likes USING btree (id)
public,comment_reactions,comment_reactions_pkey,CREATE UNIQUE INDEX comment_reactions_pkey ON public.comment_reactions USING btree (id)
public,comment_reactions,comment_reactions_comment_id_user_id_reaction_key,"CREATE UNIQUE INDEX comment_reactions_comment_id_user_id_reaction_key ON public.comment_reactions USING btree (comment_id, user_id, reaction)"
public,comment_reactions,comment_reaction_comment_idx,CREATE INDEX comment_reaction_comment_idx ON public.comment_reactions USING btree (comment_id)
public,comments,comments_pkey,CREATE UNIQUE INDEX comments_pkey ON public.comments USING btree (id)
public,community_posts,community_posts_pkey,CREATE UNIQUE INDEX community_posts_pkey ON public.community_posts USING btree (id)
public,community_posts,community_post_circle_idx,CREATE INDEX community_post_circle_idx ON public.community_posts USING btree (circle_id)
public,compliance_audits,compliance_audits_pkey,CREATE UNIQUE INDEX compliance_audits_pkey ON public.compliance_audits USING btree (id)
public,concurrent_access_events,concurrent_access_events_pkey,CREATE UNIQUE INDEX concurrent_access_events_pkey ON public.concurrent_access_events USING btree (id)
public,concurrent_access_events,concurrent_user_idx,CREATE INDEX concurrent_user_idx ON public.concurrent_access_events USING btree (user_id)
public,concurrent_access_events,concurrent_created_idx,CREATE INDEX concurrent_created_idx ON public.concurrent_access_events USING btree (created_at)
public,consent_records,consent_records_pkey,CREATE UNIQUE INDEX consent_records_pkey ON public.consent_records USING btree (id)
public,content,content_search_idx,CREATE INDEX content_search_idx ON public.content USING gin (search_vector)
public,content,content_slug_key,CREATE UNIQUE INDEX content_slug_key ON public.content USING btree (slug)
public,content,content_pkey,CREATE UNIQUE INDEX content_pkey ON public.content USING btree (id)
public,content_access_rules,content_access_rules_pkey,CREATE UNIQUE INDEX content_access_rules_pkey ON public.content_access_rules USING btree (id)